code,albedo,emissivity,roughness,roughness_h,capacity_surf,conductivity_surf,thicknes,capacity_volume,conductivity_volume,surface,storage
201,0.5,0.93,0.001,0.001,1144000,0.5,0.3,1144000,0.3,sheet metal,softwood
202,0.6,0.7,0.01,0.01,1500000,0.7,0.35,1144000,0.5,concrete/fired tile,concrete/brick/wood
203,0.2,0.93,0.001,0.001,956800,0.5,0.3,1144000,0.3,asphalt belt,softwood
204,0.3,0.96,0.01,0.01,1500000,1,0.45,1500000,1,grass,soil
205,0.3,0.96,0.05,0.05,1500000,1,0.45,1500000,1,zahrada,soil
206,0.5,0.92,0.0007,0.0007,1300000,1,0.35,1512000,1,sklo,soil
207,0.66,0.59,0.01,0.01,1125000,1.6,1,1328000,1.5,Kamínky,beton
208,0.55,0.91,0.1,0.1,4187000,0.6,1,6699200,0.6,Vzduchotechnika,beton
209,0.64,0.85,0.001,0.001,1840000,1.6,1,1360000,1.6,beton,beton
210,0.4,0.93,0.0007,0.0007,2000000,0.7,0.35,1512000,1,plast,briks
1,0.25,0.85,0.001,0.001,1840000,1.6,1,1360000,1,Beton lity,
